image_path,skin_type,detected_conditions,acne_prob,acne_detected,blackheads_prob,blackheads_detected,dark spots_prob,dark spots_detected,dryness_prob,dryness_detected,normal_prob,normal_detected,oily_prob,oily_detected,pores_prob,pores_detected,wrinkles_prob,wrinkles_detected
data/raw_images/dataset\acne\07Acne0811011-Copy_jpg.rf.a975d52a38f5b1880caaf3a5b23608ef.jpg,normal,,0.4682272672653198,False,0.36023011803627014,False,0.23917658627033234,False,0.0020179592538625,False,0.002463080920279026,False,0.0009361557313241065,False,0.1811458319425583,False,0.007005476858466864,False
data/raw_images/dataset\acne\07Acne081101_jpg.rf.78aec21a5f31ef6ece56e374fe449f32.jpg,normal,acne,0.5073467493057251,True,0.4023265242576599,False,0.2100811004638672,False,0.001873008324764669,False,0.0023172914516180754,False,0.000948987843003124,False,0.16325342655181885,False,0.008958704769611359,False
data/raw_images/dataset\acne\07AcnePittedScars1-Copy_jpg.rf.b175b704a5d4ca66eab275a8e53444d7.jpg,normal,acne,0.7166816592216492,True,0.28914836049079895,False,0.1083529144525528,False,0.0011228545336052775,False,0.0026363504584878683,False,0.00029904244001954794,False,0.08021066337823868,False,0.012293240055441856,False
data/raw_images/dataset\acne\07AcnePittedScars_jpg.rf.515bfd5fcce6c7c02bbc4b341806a114.jpg,normal,acne,0.7384498119354248,True,0.2939891815185547,False,0.09858982264995575,False,0.000859858701005578,False,0.0017451131716370583,False,0.00025018054293468595,False,0.08130580931901932,False,0.011900008656084538,False
data/raw_images/dataset\acne\07RosaceaFulFAce1-Copy_jpg.rf.b093fb5f5d093b7c8c0b84a05ccdb5bb.jpg,normal,acne,0.8971331119537354,True,0.011682159267365932,False,0.14497792720794678,False,0.004126089625060558,False,0.01062011532485485,False,5.753318328061141e-05,False,0.029268771409988403,False,0.0025023845955729485,False
data/raw_images/dataset\acne\07RosaceaFulFAce_jpg.rf.8f4739db4fb3fbccf42d994b6400f39a.jpg,normal,acne,0.886253833770752,True,0.009918313473463058,False,0.051414698362350464,False,0.0011538155376911163,False,0.0028488568495959044,False,6.942862091818824e-05,False,0.08018272370100021,False,0.050640564411878586,False
data/raw_images/dataset\acne\07RosaceaOK08280631-Copy_jpg.rf.6e30df520d58c5625e16ef7aab4293e9.jpg,dry,acne,0.8584773540496826,True,0.023009752854704857,False,0.22712665796279907,False,0.0027939898427575827,False,0.0021949063520878553,False,5.6063043302856386e-05,False,0.005478082224726677,False,0.01842433586716652,False
data/raw_images/dataset\acne\07RosaceaOK0828063_jpg.rf.1e0bdbe71edf3875e3f51c9c8c1eafdc.jpg,normal,acne,0.7438861727714539,True,0.045964159071445465,False,0.042703647166490555,False,0.005755346734076738,False,0.007900916039943695,False,0.0002398020587861538,False,0.007879121229052544,False,0.269490122795105,False
data/raw_images/dataset\acne\07SteroidPerioral11-Copy_jpg.rf.b0727e7adac0caf75f61c21ecd12231e.jpg,normal,acne,0.7254501581192017,True,0.07613970339298248,False,0.28716012835502625,False,0.008688417263329029,False,0.008708054199814796,False,0.000632539507932961,False,0.0726238265633583,False,0.012976614758372307,False
data/raw_images/dataset\acne\07SteroidPerioral1_jpg.rf.f9a353cdd5f2878257dd0e4afeb65bcb.jpg,dry,acne,0.8110752105712891,True,0.07362306118011475,False,0.24540480971336365,False,0.004788681399077177,False,0.004367508925497532,False,0.0003905556513927877,False,0.04998846352100372,False,0.016063937917351723,False
data/raw_images/dataset\acne\07VascularFace0120_jpg.rf.f7eae583522dd1e7b9cc7d066ec0f9ee.jpg,normal,acne,0.7830559015274048,True,0.2368963360786438,False,0.05390610918402672,False,0.0007872270070947707,False,0.0021768182050436735,False,0.00015562758198939264,False,0.08189045637845993,False,0.018177663907408714,False
data/raw_images/dataset\acne\08PerioralDerm11_jpg.rf.004e21761c248827c5d826f8964994a5.jpg,normal,acne,0.8000867366790771,True,0.10950597375631332,False,0.06466809660196304,False,0.001858373056165874,False,0.004629858769476414,False,0.0003319460083730519,False,0.05287402123212814,False,0.07430148869752884,False
data/raw_images/dataset\acne\08PerioralDerm1_jpg.rf.86cb07f9745a8d3a98ef6a1ae535d793.jpg,normal,acne,0.7357495427131653,True,0.2289525270462036,False,0.06083839386701584,False,0.0009610499255359173,False,0.0019685716833919287,False,0.00022948022524360567,False,0.046334654092788696,False,0.06619071215391159,False
data/raw_images/dataset\acne\0_19hJvhBaJyf8eJwT__jpg.rf.bfd5d23af4da12fd75728ada16887ff4.jpg,normal,,0.2614765763282776,False,0.05279425159096718,False,0.12319856137037277,False,0.2778705060482025,False,0.34689152240753174,False,0.052946969866752625,False,0.0020971568301320076,False,0.005406782031059265,False
data/raw_images/dataset\acne\0_before_jpg.rf.db1b0102231c11d9d92d42a9a13c6ffb.jpg,dry,acne,0.6942342519760132,True,0.05701214820146561,False,0.3699871301651001,False,0.011676731519401073,False,0.011412634514272213,False,0.0012073421385139227,False,0.14458045363426208,False,0.0027052732184529305,False
data/raw_images/dataset\acne\0_Skin_jpg.rf.ffb1675b09c552a7f69c44f46693d5c9.jpg,normal,acne,0.8464006781578064,True,0.028874510899186134,False,0.13895003497600555,False,0.030749604105949402,False,0.03407837450504303,False,0.00047112518223002553,False,0.014240059070289135,False,0.0038765105418860912,False
data/raw_images/dataset\acne\1-inst-natural-acne-solutions-36374-150x1501_jpg.rf.44b1c86eb5cc1a33960732535e910c2b.jpg,dry,,0.4358364939689636,False,0.26962319016456604,False,0.3133528232574463,False,0.0038605148438364267,False,0.0028848571237176657,False,0.0017960567492991686,False,0.2647908926010132,False,0.005446272436529398,False
data/raw_images/dataset\acne\1-inst-natural-acne-solutions-36374-150x150_jpg.rf.28c1f79025b220631c4a7708bdf18d64.jpg,dry,,0.42198246717453003,False,0.32259148359298706,False,0.3194786310195923,False,0.0033332568127661943,False,0.0021397348027676344,False,0.0018193871947005391,False,0.26271337270736694,False,0.006382533349096775,False
data/raw_images/dataset\acne\10_jpg.rf.2be69049e12202b182b2122c4611f68f.jpg,normal,acne,0.6703476309776306,True,0.05460258945822716,False,0.2370920479297638,False,0.01917221024632454,False,0.03681318834424019,False,0.0015530193923041224,False,0.002890383591875434,False,0.04181348532438278,False
data/raw_images/dataset\acne\10_Skin11_jpg.rf.308951a3d9b7276fe9dad74fbf059716.jpg,normal,acne,0.8812593221664429,True,0.025625884532928467,False,0.09992549568414688,False,0.01473730057477951,False,0.03476506099104881,False,0.0004067934933118522,False,0.024758966639637947,False,0.003540188306942582,False
